claim_id,claim_text,original_text,domain,model_confidence,condition,system_verdict,human_verdict
85696df82d72ca28,speed from a body of mass M and radius R equals v_esc = √(2GM/R),speed from a body of mass M and radius R equals v_esc = √(2GM/R),mechanics,0.86,isnad-gated,served,
835cf2148fde5a10,Nuclear radius R equals R₀A^(1/3) with R₀ ≈ 1,Nuclear radius R equals R₀A^(1/3) with R₀ ≈ 1,modern-quantum,0.8,isnad-gated,served,
b89214a7adf20a58,ρ = ρ₀[1 + α(T−T₀)].,ρ = ρ₀[1 + α(T−T₀)].,general,0.87,isnad-gated,served,
5cfe058d6491e0bf,Q-value = (m_initial − m_final)c².,Q-value = (m_initial − m_final)c².,general,0.91,isnad-gated,served,
1eaa44d1c15d0211,and wavelength filtering.,and wavelength filtering.,electromagnetism,0.79,isnad-gated,served,
c385002eb55d1580,stars are used as standard candles for d equals tance measurement,stars are used as standard candles for d equals tance measurement,general,0.86,isnad-gated,served,
defcbb9303049cde,Kinetic energy is one half mass times velocity squared.,Kinetic energy is one half mass times velocity squared.,mechanics,0.81,isnad-gated,served,
bd7653dcc5d5fb14,the total mechanical energy equals conserved:,the total mechanical energy equals conserved:,mechanics,0.79,isnad-gated,served,
97b392733b85fa65,(1/2)m(v²)_avg = (3/2)k_B T.,(1/2)m(v²)_avg = (3/2)k_B T.,general,0.92,isnad-gated,served,
cd0a35707ee41bce,Balmer series (to n=2) is in visible.,Balmer series (to n=2) is in visible.,general,0.93,isnad-gated,served,
9eb7738de5ba61ee,reflected light equals completely polarized parallel to the surface,reflected light equals completely polarized parallel to the surface,optics-waves,0.82,isnad-gated,served,
d27e6ca73b2ca18c,L = μ₀n²Al.,L = μ₀n²Al.,general,0.88,isnad-gated,served,
339397ed730f9aa8,Kinetic energy is the energy of motion:,Kinetic energy is the energy of motion:,mechanics,0.8,isnad-gated,served,
6857fd84bb420fd5,An inertial reference frame equals one in which the first law holds,An inertial reference frame equals one in which the first law holds,general,0.82,isnad-gated,served,
ae53da4020f8d7f0,weber Wb equals T·m²,weber Wb equals T·m²,general,0.83,isnad-gated,served,
d1a8f38bc9cdf9d6,The energy of a photon equals proportional to its frequency,The energy of a photon equals proportional to its frequency,modern-quantum,0.83,isnad-gated,served,
2d807352105cac9d,Capacitance C equals Q/V,Capacitance C equals Q/V,general,0.83,isnad-gated,served,
5cc4cf37d82f6074,Cherenkov detectors identify particles by the light cone angle (cos θ = 1/(nβ)).,Cherenkov detectors identify particles by the light cone angle (cos θ = 1/(nβ)).,optics-waves,0.91,isnad-gated,served,
003c491b52862284,newton N equals kg·m/s²,newton N equals kg·m/s²,mechanics,0.8,isnad-gated,served,
3e2be04bf0017705,The Pauli exclusion principle:,The Pauli exclusion principle:,modern-quantum,0.78,isnad-gated,served,
34711b9ecb094540,Ultraviolet radiation has shorter wavelength than visible light.,Ultraviolet radiation has shorter wavelength than visible light.,optics-waves,0.81,isnad-gated,served,
a43203c40f1466a2,Redshift z = (λ_obs−λ_emit)/λ_emit = f_emit/f_obs − 1.,Redshift z = (λ_obs−λ_emit)/λ_emit = f_emit/f_obs − 1.,general,0.87,isnad-gated,served,
80560b92d05282cd,The resistance of a conductor depends on its length,The resistance of a conductor depends on its length,general,0.78,isnad-gated,served,
2df0b0ebe8c35a03,The unit of intensity equals the watt per square meter,The unit of intensity equals the watt per square meter,general,0.81,isnad-gated,served,
6b28780ad39cf16b,V_rms equals V/√2 for sinusoidal signals,V_rms equals V/√2 for sinusoidal signals,electromagnetism,0.91,isnad-gated,served,
2d87d77fba815b76,Cosmic microwave background:,Cosmic microwave background:,general,0.84,isnad-gated,served,
e7464382d33ebc34,Doppler ultrasound measures blood flow velocity.,Doppler ultrasound measures blood flow velocity.,mechanics,0.83,isnad-gated,served,
6141d32c1e55814a,f_beat equals |f₁ − f₂|,f_beat equals |f₁ − f₂|,general,0.84,isnad-gated,served,
7a82dd4378970b1d,"For massless particles (photons), E = pc, and p = E/c.","For massless particles (photons), E = pc, and p = E/c.",modern-quantum,0.85,isnad-gated,served,
78a0e5a7d982983d,Th equals was Maxwell's crucial insight linking electricity and magnetism,Th equals was Maxwell's crucial insight linking electricity and magnetism,electromagnetism,0.82,isnad-gated,served,
fd9ae8fa046a6186,The work function φ depends on the metal.,The work function φ depends on the metal.,modern-quantum,0.87,isnad-gated,served,
1969d64512d43fdd,Coulomb's constant k = 8.987551787 × 10⁹ N·m²/C².,Coulomb's constant k = 8.987551787 × 10⁹ N·m²/C².,electromagnetism,0.91,isnad-gated,served,
9ee274f557cae8e3,antinodes are points of maximum d equals placement,antinodes are points of maximum d equals placement,general,0.79,isnad-gated,served,
d797c4691f84c78e,Length contraction occurs in the direction of motion.,Length contraction occurs in the direction of motion.,general,0.84,isnad-gated,served,
